Cohort,Cohort Size,Num Features,Model,Accuracy_Formatted,Brier_Score_Formatted,F1_Score_Formatted,PR_AUC_Formatted,Precision_Formatted,ROC_AUC_Formatted,Recall_Sensitivity_Formatted,Specificity_Formatted
Nationwide Cohort,339308,2077,CatBoost,0.8150 (0.8117 - 0.8181),0.1764 (0.1749 - 0.1778),0.4492 (0.4415 - 0.4572),0.4218 (0.4124 - 0.4309),0.3650 (0.3567 - 0.3726),0.8227 (0.8184 - 0.8270),0.5839 (0.5747 - 0.5935),0.8493 (0.8464 - 0.8521)
Nationwide Cohort,339308,2077,Gradient Boosting,0.7965 (0.7937 - 0.7995),0.1845 (0.1833 - 0.1857),0.4297 (0.4225 - 0.4365),0.3900 (0.3810 - 0.3994),0.3368 (0.3302 - 0.3428),0.8062 (0.8013 - 0.8106),0.5935 (0.5840 - 0.6036),0.8266 (0.8237 - 0.8299)
Nationwide Cohort,339308,2077,LightGBM,0.8074 (0.8038 - 0.8104),0.1648 (0.1634 - 0.1662),0.4474 (0.4389 - 0.4550),0.4229 (0.4133 - 0.4314),0.3554 (0.3477 - 0.3623),0.8235 (0.8189 - 0.8273),0.6036 (0.5930 - 0.6139),0.8376 (0.8344 - 0.8404)
Nationwide Cohort,339308,2077,Logistic Regression,0.8127 (0.8101 - 0.8153),0.1839 (0.1824 - 0.1852),0.4238 (0.4169 - 0.4321),0.3825 (0.3731 - 0.3922),0.3517 (0.3443 - 0.3596),0.7959 (0.7911 - 0.8002),0.5332 (0.5234 - 0.5448),0.8542 (0.8514 - 0.8570)
Nationwide Cohort,339308,2077,Random Forest,0.7720 (0.7686 - 0.7750),0.1474 (0.1466 - 0.1483),0.3918 (0.3845 - 0.3984),0.3290 (0.3195 - 0.3378),0.2989 (0.2926 - 0.3047),0.7739 (0.7690 - 0.7785),0.5684 (0.5583 - 0.5779),0.8022 (0.7987 - 0.8054)
Nationwide Cohort,339308,2077,XGBoost,0.8097 (0.8063 - 0.8127),0.1688 (0.1674 - 0.1702),0.4486 (0.4409 - 0.4559),0.4244 (0.4141 - 0.4331),0.3584 (0.3509 - 0.3649),0.8228 (0.8186 - 0.8270),0.5993 (0.5893 - 0.6096),0.8409 (0.8375 - 0.8442)
Texas Cohort,222953,4108,CatBoost,0.7976 (0.7934 - 0.8015),0.1737 (0.1720 - 0.1760),0.4858 (0.4766 - 0.4938),0.4821 (0.4696 - 0.4936),0.3979 (0.3891 - 0.4070),0.8276 (0.8228 - 0.8321),0.6235 (0.6107 - 0.6353),0.8291 (0.8249 - 0.8331)
Texas Cohort,222953,4108,Gradient Boosting,0.7571 (0.7532 - 0.7624),0.1906 (0.1893 - 0.1918),0.4436 (0.4350 - 0.4503),0.4080 (0.3966 - 0.4190),0.3420 (0.3339 - 0.3494),0.7957 (0.7908 - 0.8005),0.6311 (0.6197 - 0.6426),0.7800 (0.7759 - 0.7846)
Texas Cohort,222953,4108,LightGBM,0.7990 (0.7948 - 0.8035),0.1633 (0.1615 - 0.1654),0.4848 (0.4762 - 0.4924),0.4829 (0.4715 - 0.4945),0.3995 (0.3913 - 0.4074),0.8272 (0.8226 - 0.8320),0.6166 (0.6044 - 0.6279),0.8321 (0.8281 - 0.8360)
Texas Cohort,222953,4108,Logistic Regression,0.8033 (0.7992 - 0.8072),0.1759 (0.1740 - 0.1780),0.4767 (0.4671 - 0.4861),0.4536 (0.4415 - 0.4648),0.4027 (0.3934 - 0.4130),0.8110 (0.8060 - 0.8157),0.5840 (0.5731 - 0.5965),0.8431 (0.8388 - 0.8466)
Texas Cohort,222953,4108,Random Forest,0.7444 (0.7405 - 0.7491),0.1842 (0.1832 - 0.1852),0.4244 (0.4162 - 0.4329),0.3829 (0.3709 - 0.3946),0.3242 (0.3171 - 0.3327),0.7777 (0.7725 - 0.7830),0.6143 (0.6024 - 0.6254),0.7680 (0.7638 - 0.7722)
Texas Cohort,222953,4108,XGBoost,0.7914 (0.7870 - 0.7955),0.1691 (0.1673 - 0.1713),0.4853 (0.4761 - 0.4937),0.4842 (0.4731 - 0.4950),0.3904 (0.3811 - 0.3995),0.8279 (0.8228 - 0.8324),0.6412 (0.6277 - 0.6517),0.8186 (0.8147 - 0.8227)
Nationwide Cohort,339308,2077,HIR-M3 Transformer,0.5947 (0.5910 - 0.5984),0.2473 (0.2469 - 0.2478),0.2315 (0.2265 - 0.2377),0.1571 (0.1526 - 0.1615),0.1533 (0.1495 - 0.1576),0.5649 (0.5587 - 0.5714),0.4724 (0.4611 - 0.4824),0.6129 (0.6090 - 0.6167)
